last_score,study_duration,total_reviews,last_gap_days,days_until_next_revision
84.33,38.22,2,28.46,20.57
51.45,75.14,6,2.15,12.79
64.09,15.73,9,16.25,26.97
71.29,6.37,4,0.53,12.65
73.88,21.84,4,0.95,8.66
84.31,71.61,2,6.44,12.22
77.67,48.95,3,3.48,10.46
54.97,5.0,4,7.24,14.55
80.7,35.39,3,9.96,14.31
84.16,25.45,2,1.45,8.34
83.4,71.4,1,5.74,8.61
91.21,5.0,4,4.68,10.68
87.51,22.91,3,9.89,15.34
81.89,63.47,4,2.81,13.09
73.95,15.83,4,0.27,10.66
50.09,19.73,4,4.27,10.07
81.44,5.0,4,15.96,17.91
78.12,9.78,4,0.07,11.29
79.07,11.77,5,1.37,13.81
55.85,87.08,1,1.9,4.93
58.78,9.97,6,7.26,14.78
90.8,18.53,2,1.95,6.74
74.41,33.38,2,1.37,8.26
85.22,5.31,5,5.23,15.79
75.42,19.99,4,0.24,9.81
75.45,40.24,6,0.94,12.92
89.07,60.49,7,2.62,16.77
67.26,29.53,3,2.2,12.91
76.44,33.17,1,2.13,8.73
68.07,5.0,5,0.57,12.37
68.48,87.44,10,2.24,21.48
70.36,5.0,9,8.0,21.08
78.33,44.71,5,2.67,12.14
67.82,9.23,5,4.41,11.66
93.84,81.36,3,0.89,10.14
61.58,38.18,2,0.36,5.47
72.2,42.05,5,10.6,16.2
68.4,7.42,4,2.01,10.4
96.7,17.56,4,2.16,12.17
77.95,28.86,3,10.51,13.2
90.48,44.09,2,6.15,12.08
52.72,5.0,3,7.06,10.46
79.01,98.39,6,5.73,17.78
88.34,66.28,8,0.56,16.68
76.23,9.46,2,15.85,15.93
90.98,51.91,2,11.99,13.61
67.24,21.91,2,1.35,9.81
96.14,18.59,4,8.15,14.85
100.0,11.33,3,2.63,10.86
69.56,26.09,4,5.76,13.68
68.32,39.27,5,0.91,13.24
96.8,15.88,6,3.87,17.42
98.69,29.76,5,0.68,15.93
67.16,36.05,5,3.84,14.37
68.7,37.25,5,1.4,12.15
70.77,5.0,4,3.01,10.33
54.83,58.93,3,5.51,10.78
61.22,18.39,4,10.48,16.83
59.94,9.13,7,0.9,12.02
63.48,8.3,3,11.19,12.18
74.48,19.79,5,2.47,12.46
78.51,65.37,4,9.28,14.41
98.26,14.26,4,3.59,12.33
60.02,41.56,2,9.91,14.36
89.76,5.0,4,5.44,12.84
71.79,19.39,6,3.55,15.31
74.26,120.0,3,1.87,8.66
85.12,44.15,4,17.35,18.02
58.16,7.09,7,8.07,18.96
80.74,20.88,4,2.4,14.09
77.5,7.98,4,0.91,10.8
82.39,15.81,4,7.56,13.7
79.34,45.44,6,23.0,25.97
100.0,44.25,5,1.64,10.16
65.43,7.77,2,12.38,12.93
67.04,76.62,1,0.67,4.89
65.65,26.94,5,15.2,20.02
66.67,14.34,3,6.84,8.2
65.44,20.91,3,2.13,8.24
92.84,27.87,6,1.82,14.95
96.31,24.62,3,5.16,11.16
66.44,19.99,2,4.5,8.34
62.51,21.09,3,12.56,15.62
82.07,5.82,2,7.27,10.8
66.72,50.26,7,3.89,15.22
84.49,23.41,3,13.13,17.09
78.04,5.0,5,4.49,14.11
52.26,43.59,5,9.48,16.02
98.21,80.84,4,9.19,15.52
100.0,88.3,3,12.58,13.44
65.81,13.81,2,0.35,5.34
69.18,5.0,3,4.38,8.72
79.29,21.92,3,3.16,9.49
80.02,5.0,5,3.37,12.01
84.88,81.54,7,3.08,17.81
100.0,6.08,7,9.08,21.46
72.35,8.74,7,1.92,16.84
63.03,15.66,5,3.11,13.72
54.31,14.49,4,1.12,8.17
64.04,47.49,6,1.45,13.81
74.5,18.28,2,5.4,12.08
100.0,5.62,4,0.62,9.03
67.24,9.33,4,1.04,12.06
78.36,21.35,3,3.75,9.16
74.75,5.0,2,0.22,7.37
92.83,28.38,3,0.68,10.57
100.0,25.02,7,9.95,21.18
67.04,37.63,1,9.36,13.5
67.66,83.28,1,2.14,6.89
90.66,73.0,5,2.14,11.86
85.23,87.61,4,13.78,19.15
100.0,8.42,6,0.13,13.95
83.76,5.0,2,4.34,10.27
69.61,10.8,3,4.55,11.76
83.86,67.64,4,7.75,15.15
91.63,107.32,1,15.16,16.1
87.31,58.84,1,2.2,8.16
82.61,5.0,4,2.88,14.34
91.0,88.37,3,5.56,12.75
92.54,16.52,5,17.1,19.92
95.73,5.0,4,11.07,17.73
84.73,17.52,7,5.5,16.38
72.49,5.0,3,9.71,13.65
77.2,23.55,1,0.45,5.72
93.1,12.4,6,2.37,14.89
62.75,19.24,1,0.07,8.65
80.53,28.49,2,0.98,9.84
69.1,60.93,1,4.98,9.99
75.43,32.53,4,10.84,16.53
94.18,17.08,2,5.01,9.46
77.87,51.35,5,5.46,15.37
75.7,70.8,3,0.55,10.61
54.6,5.0,4,5.47,11.84
86.19,22.77,6,3.03,15.35
84.68,10.04,3,5.27,10.94
100.0,5.0,2,1.97,9.48
70.38,33.13,3,4.36,9.96
78.29,59.58,4,2.76,13.34
78.74,5.33,3,4.09,7.55
98.66,50.21,4,0.8,14.21
73.57,57.6,4,2.52,9.93
79.19,73.72,3,2.34,9.26
84.12,9.25,2,6.67,11.31
77.8,70.29,5,6.13,16.44
68.3,11.6,6,11.98,21.71
77.91,24.11,5,5.0,14.74
91.1,5.0,4,1.89,11.52
59.6,5.0,2,7.64,10.17
76.99,38.23,4,3.44,14.59
64.5,17.64,5,1.08,15.19
92.93,8.88,1,6.88,9.46
52.15,6.34,5,0.71,11.38
66.62,33.26,1,0.98,5.76
80.66,5.0,1,7.11,9.03
98.48,49.18,3,7.35,16.74
74.01,5.0,4,7.82,12.31
66.67,6.38,6,1.74,9.81
100.0,14.64,1,10.07,12.26
53.28,19.9,3,6.41,12.5
42.02,13.15,3,8.98,11.64
81.6,11.6,5,6.17,15.61
67.47,99.66,8,4.33,20.33
59.68,30.78,1,0.58,5.45
85.63,5.0,4,6.21,14.3
78.66,16.87,1,5.86,9.46
66.54,62.39,2,1.87,5.37
55.8,10.76,1,6.66,7.97
88.09,5.0,3,4.0,8.63
84.75,42.61,3,4.1,11.44
73.51,27.94,6,2.29,13.54
100.0,25.34,2,0.62,10.28
58.95,5.0,4,1.22,10.01
52.12,5.0,5,7.32,14.56
64.62,29.23,5,1.58,11.72
74.32,6.99,7,0.01,15.92
78.65,21.04,7,29.07,26.92
71.38,23.62,7,1.18,13.71
80.28,10.0,4,5.33,14.77
56.23,88.94,1,13.08,11.68
96.66,55.44,1,4.58,6.33
73.77,38.44,3,8.02,15.02
91.76,5.0,2,18.73,18.65
80.14,5.0,4,9.84,16.08
81.85,20.36,7,4.08,17.11
83.55,5.26,7,2.26,18.39
81.72,114.87,7,3.29,20.03
84.64,5.18,2,9.22,14.25
94.94,20.05,5,9.6,18.42
77.95,13.58,9,9.35,22.48
85.64,30.6,1,4.55,7.97
73.65,5.0,1,3.24,4.98
96.6,16.88,1,1.87,8.3
64.85,9.64,2,0.02,7.29
100.0,65.61,1,7.23,10.68
74.4,5.0,6,1.62,14.53
53.54,73.51,2,2.0,7.4
76.92,53.69,6,9.27,19.68
64.78,10.6,9,0.27,15.73
87.61,46.72,4,13.13,16.14
65.21,5.0,1,0.01,4.49
68.31,102.22,4,14.0,19.36
46.66,22.43,2,3.03,5.48
68.22,10.84,7,0.54,15.94
38.64,13.51,5,5.61,10.0
51.24,5.0,7,11.31,18.43
86.41,120.0,5,2.88,13.14
86.79,5.0,5,5.88,10.95
81.38,31.92,7,19.4,25.35
60.5,17.54,3,1.38,8.24
74.28,89.23,3,8.59,11.9
74.95,8.47,6,1.75,12.99
57.62,22.78,3,2.78,9.81
97.55,19.75,6,1.65,14.48
88.16,36.41,4,2.95,12.19
71.69,5.0,6,0.03,12.08
75.4,6.46,5,1.81,11.41
78.13,7.25,7,2.95,15.11
44.37,40.2,5,5.0,11.95
71.29,6.29,4,5.07,11.08
64.77,25.56,7,4.38,14.83
59.98,7.27,3,1.73,7.92
70.78,59.33,2,14.73,13.93
100.0,85.52,4,2.49,12.06
84.61,21.93,6,1.22,15.36
66.43,13.03,5,4.04,14.91
83.59,8.0,2,6.91,10.77
95.99,5.0,1,0.06,6.51
88.87,9.38,3,1.62,8.87
75.89,31.86,8,8.71,22.28
65.3,22.88,7,3.54,18.52
85.47,86.49,3,2.63,11.28
80.9,15.14,4,13.36,16.2
88.43,35.51,3,0.47,10.26
84.53,20.16,1,4.78,8.65
90.74,21.56,4,2.09,11.19
66.97,9.35,5,0.37,11.89
94.76,18.21,5,1.2,14.55
77.96,19.09,3,4.94,10.01
100.0,36.79,2,0.14,12.5
64.66,84.72,4,4.49,10.59
100.0,11.98,7,15.72,22.28
77.97,5.0,1,7.93,9.8
65.23,20.57,8,2.12,20.03
67.74,23.59,3,0.74,7.81
70.19,5.53,6,3.13,12.57
81.36,42.87,2,2.5,9.85
82.84,120.0,1,17.83,16.18
66.39,87.44,4,22.96,23.26
74.63,6.59,5,2.64,12.56
100.0,62.47,1,0.81,6.66
100.0,36.57,4,12.07,21.17
81.54,18.15,4,7.89,9.89
75.57,23.34,2,3.58,11.69
76.8,56.83,4,2.27,13.32
84.2,19.63,3,2.97,9.41
59.66,14.01,2,11.61,14.83
71.14,20.39,3,1.02,6.85
49.97,25.96,4,8.22,14.55
80.99,6.29,7,0.09,11.58
84.71,69.35,5,12.66,17.5
67.75,33.64,7,3.47,14.46
98.61,30.09,4,1.29,10.95
56.61,5.0,4,0.01,8.94
53.03,27.8,6,4.1,12.93
78.37,5.0,4,1.4,7.65
90.71,5.0,6,4.99,16.81
100.0,22.48,2,1.65,9.27
68.12,15.46,5,0.46,12.01
91.18,26.66,3,3.52,11.52
74.42,5.0,2,4.16,10.31
72.41,16.92,3,3.01,9.8
88.25,5.76,4,3.06,13.56
84.78,120.0,1,4.45,8.8
51.35,24.71,5,3.74,11.27
97.15,34.89,6,0.71,16.86
95.7,11.81,1,1.1,9.06
65.62,5.0,2,0.76,7.61
80.94,111.73,2,5.91,10.53
82.41,10.12,5,3.76,12.21
78.91,16.54,4,2.81,13.62
66.75,31.48,4,8.01,15.77
64.93,5.0,5,1.97,11.72
74.62,49.86,6,4.2,19.17
92.59,23.07,5,0.39,13.4
83.15,9.78,4,6.82,12.07
69.44,5.0,2,5.94,9.11
86.58,5.32,6,8.11,17.48
32.27,67.62,2,10.79,11.27
92.23,34.75,4,7.09,16.61
48.9,8.63,4,9.31,11.81
69.56,5.0,9,2.12,16.12
58.2,35.2,3,2.1,9.95
55.58,25.49,4,14.44,15.66
92.41,15.55,6,12.3,23.67
67.98,13.56,1,3.98,8.53
80.2,7.33,6,2.28,13.49
74.3,33.22,5,10.05,18.61
82.16,105.87,6,1.95,16.94
76.15,5.8,4,0.83,11.27
55.76,27.27,3,5.1,10.11
89.94,16.56,4,0.22,11.51
67.59,17.76,6,2.38,10.71
51.65,8.8,3,8.24,13.33
68.58,52.31,3,1.75,4.52
97.51,19.92,6,13.39,20.24
87.75,23.52,4,15.6,16.19
69.77,10.9,1,8.46,8.65
69.76,6.02,5,21.97,21.96
70.18,5.0,1,3.78,5.19
100.0,37.57,4,4.21,9.57
80.73,6.55,5,9.04,16.48
81.45,35.14,6,3.39,18.49
90.45,14.85,1,2.61,7.05
78.58,16.12,4,4.77,14.02
71.11,19.0,4,5.36,14.81
72.05,13.75,5,6.95,11.96
73.93,5.0,3,5.52,10.35
74.44,11.12,2,6.85,8.42
85.91,32.7,5,5.61,13.94
75.78,32.88,7,3.27,19.03
85.99,10.12,3,0.72,9.67
73.79,18.49,5,7.7,16.53
76.18,6.45,3,0.16,8.43
45.03,7.09,1,24.46,14.29
88.74,5.0,11,8.81,26.45
80.2,68.12,4,5.56,15.8
89.97,7.1,6,17.0,22.59
31.56,7.75,3,4.74,9.31
100.0,9.84,4,0.29,9.46
72.91,5.0,8,4.1,18.84
91.62,30.59,5,1.62,15.42
59.4,5.0,2,2.31,7.81
84.19,5.0,7,3.08,13.64
59.2,31.05,4,7.45,15.66
65.64,12.45,1,3.5,5.32
100.0,36.92,10,3.22,22.81
72.14,24.45,5,1.8,13.84
78.26,8.87,2,3.88,10.62
88.05,31.57,3,1.43,7.44
82.44,5.0,2,1.51,8.14
77.26,23.06,2,7.08,10.86
80.47,17.24,2,2.1,10.52
100.0,9.35,5,0.26,13.48
74.14,27.79,5,2.11,14.89
78.02,61.52,7,5.09,18.78
90.76,120.0,5,8.41,18.13
91.58,28.08,4,16.34,19.51
92.81,15.56,5,6.86,18.11
84.58,7.65,3,2.8,8.31
57.85,8.92,4,1.78,11.29
99.5,19.59,4,0.69,10.71
57.8,13.73,6,4.94,13.33
79.54,73.54,2,3.57,11.52
63.69,13.78,4,5.66,10.92
74.04,14.03,4,1.35,11.18
79.93,14.51,4,1.96,10.48
79.82,54.35,5,1.73,9.73
81.33,31.56,2,7.99,12.3
99.21,28.57,6,0.94,15.1
81.8,12.2,3,4.69,8.27
71.34,51.1,3,0.26,8.0
89.46,5.0,1,3.99,5.34
92.84,61.39,3,0.33,11.43
56.59,21.57,3,0.97,10.25
83.96,15.24,3,0.6,10.53
85.52,20.62,5,2.13,14.67
70.54,33.03,5,2.11,11.85
95.64,5.0,9,8.76,23.56
72.75,61.57,6,1.28,14.29
76.88,17.76,3,0.45,9.14
72.4,12.6,6,4.63,16.58
75.23,5.0,4,5.81,14.52
58.56,17.37,3,1.75,8.01
53.4,20.57,4,4.62,9.21
98.92,15.51,10,7.48,23.66
62.3,34.06,3,2.14,8.92
60.13,16.39,4,3.73,11.57
42.7,97.65,3,0.79,9.91
65.42,27.43,7,0.12,11.42
55.15,49.43,4,19.91,18.53
99.63,5.0,5,1.78,12.01
90.15,15.19,4,1.63,13.45
64.68,12.32,3,18.11,16.68
100.0,25.28,1,6.51,9.41
89.73,59.22,4,4.4,14.48
70.13,5.0,1,6.01,7.2
37.51,5.0,3,6.19,9.53
100.0,56.98,8,7.21,24.27
54.16,7.18,3,0.35,10.18
50.32,33.15,6,2.66,12.79
90.34,23.48,5,1.75,13.01
100.0,53.67,7,0.37,15.65
95.76,5.0,3,2.66,7.81
83.46,5.0,3,4.79,12.7
83.92,24.41,9,0.98,22.23
87.8,87.77,3,1.82,10.6
86.38,16.08,5,5.1,13.41
79.22,11.88,5,4.33,13.41
76.56,27.99,10,10.15,24.5
74.06,79.97,5,7.83,14.75
63.69,54.41,8,16.85,23.83
70.79,120.0,10,4.55,24.34
49.61,5.0,2,5.99,8.75
73.52,5.0,1,9.85,12.09
60.17,28.21,7,9.16,19.11
58.45,51.54,2,6.34,8.32
77.7,10.07,2,3.47,7.92
95.88,8.2,3,1.6,10.6
88.77,46.39,3,10.49,13.27
51.44,5.0,4,7.5,10.52
60.16,13.83,2,9.1,9.0
89.11,21.15,6,0.76,14.96
60.26,24.65,3,1.89,8.32
71.63,39.13,4,2.77,13.39
83.25,13.15,6,9.11,16.59
60.47,28.46,3,11.17,9.9
76.58,26.41,7,1.68,15.41
54.99,23.8,2,5.8,11.52
65.98,30.69,3,0.41,8.56
79.8,9.01,6,2.63,12.4
51.11,5.0,2,3.33,4.87
81.61,5.0,8,7.25,21.59
74.71,7.63,4,11.13,14.21
83.29,20.81,4,2.06,13.85
78.36,55.06,3,3.75,12.19
95.46,36.25,4,5.21,12.83
76.88,46.68,5,1.99,14.87
68.56,12.97,9,21.18,26.35
76.83,15.56,2,10.43,10.14
83.15,15.01,2,1.76,6.99
75.73,6.39,1,3.55,8.32
75.61,5.0,6,1.31,15.23
64.47,26.82,5,3.61,12.38
65.06,120.0,1,5.75,6.83
53.96,5.48,5,0.45,8.18
100.0,5.0,4,10.21,14.58
56.34,45.36,1,4.5,5.38
64.61,8.73,2,22.83,18.19
64.22,53.1,6,0.13,16.07
88.42,36.52,6,8.9,19.68
70.58,87.38,3,7.85,11.72
93.72,15.77,5,0.71,11.76
64.9,32.54,6,2.04,13.06
79.18,18.76,1,10.81,11.76
62.47,29.88,6,3.65,16.81
100.0,17.91,5,2.56,13.38
57.19,6.27,8,11.8,23.17
79.65,21.27,7,0.49,18.24
84.51,22.56,5,3.2,13.18
81.21,49.92,3,5.28,11.47
72.22,39.9,1,4.69,7.58
73.05,32.7,6,1.53,14.06
75.66,5.0,3,4.14,9.9
72.79,38.26,1,6.16,10.19
89.46,20.81,5,4.4,12.19
100.0,67.36,2,5.77,11.2
66.64,75.72,6,1.48,14.83
54.45,5.0,2,8.94,11.58
73.68,51.55,4,2.99,15.33
100.0,5.0,2,21.8,17.05
62.94,13.73,3,0.12,6.96
99.59,23.45,2,2.39,6.17
100.0,5.0,3,1.0,8.42
66.7,41.15,1,4.06,4.89
83.53,5.0,5,1.39,11.67
99.43,5.54,1,6.69,9.56
69.31,26.08,5,10.68,17.44
71.95,37.59,4,1.18,10.37
66.27,74.54,4,0.88,11.7
59.78,36.67,2,10.41,11.98
65.26,33.42,5,2.24,10.89
56.64,15.04,3,2.85,6.48
75.51,5.0,5,1.25,12.86
63.45,5.0,2,2.77,10.11
78.51,22.94,8,1.32,20.77
51.66,33.73,7,5.48,17.79
79.96,16.21,6,3.45,17.18
87.5,39.36,9,7.76,23.1
45.09,22.14,4,1.88,10.01
80.61,5.0,4,3.52,12.04
93.42,6.4,5,1.5,12.87
56.86,54.98,9,13.63,24.98
100.0,38.72,2,3.69,9.71
81.29,67.55,1,0.95,6.95
64.42,5.0,3,1.59,6.83
74.16,120.0,5,0.43,14.14
83.37,7.05,4,0.14,8.92
76.14,5.0,3,3.73,10.31
83.08,120.0,4,2.06,13.93
61.19,9.9,1,16.59,13.9
77.54,33.08,2,0.94,9.06
53.79,5.83,2,7.9,9.42
73.33,26.04,5,1.9,13.28
61.44,70.31,3,1.27,8.65
63.97,11.58,10,17.47,24.17
93.54,33.28,4,8.11,16.08
91.37,6.24,4,4.98,13.61
84.14,29.41,4,5.97,15.2
58.62,12.3,4,23.77,20.98
70.25,7.12,4,4.5,9.48
93.2,11.27,4,0.54,10.98
77.13,5.91,6,0.34,14.45
100.0,69.66,1,5.49,11.12
80.9,15.18,5,5.36,14.26
77.88,8.44,2,6.9,7.99
70.36,17.85,6,0.58,11.56
77.0,11.59,6,14.49,21.01
72.71,40.93,2,4.01,6.82
85.62,106.44,5,5.24,15.7
89.35,17.29,4,0.18,10.9
63.21,59.21,2,16.22,16.98
55.03,25.03,5,4.13,13.66
47.46,5.13,4,4.14,11.97
82.62,35.2,4,14.37,18.36
58.45,21.61,4,13.25,14.64
42.71,31.55,4,1.24,8.36
80.83,66.13,4,13.38,16.43
100.0,17.42,3,6.67,14.01
74.91,69.43,3,0.1,8.41
87.58,41.67,4,1.37,11.17
76.23,20.12,3,2.66,10.01
73.52,27.73,4,4.37,14.79
88.79,11.82,2,6.04,11.64
70.65,120.0,6,1.18,13.96
79.01,33.02,3,9.06,13.76
79.83,5.0,3,9.34,15.72
64.98,11.86,1,5.04,8.39
89.88,29.29,2,12.7,11.93
72.38,5.0,4,8.38,12.52
63.66,5.0,3,1.25,6.9
83.05,17.94,6,8.01,19.62
61.52,12.14,4,15.31,18.82
75.42,17.3,3,0.74,7.99
74.86,9.14,1,19.24,14.05
91.29,5.4,5,0.13,12.28
82.12,35.05,4,3.69,12.65
74.62,21.68,3,7.43,10.87
87.27,6.7,3,7.81,12.51
95.85,11.55,3,6.63,10.62
83.37,26.88,4,3.77,14.41
75.16,5.0,5,5.26,11.33
55.32,5.0,6,6.02,12.2
59.02,5.0,6,3.41,14.39
70.42,50.19,3,4.53,9.27
65.86,41.88,2,9.37,10.92
72.2,41.99,1,1.88,6.84
75.85,37.8,6,3.7,16.29
82.95,33.2,5,0.04,11.89
73.94,19.44,3,5.81,14.1
82.3,30.84,6,1.09,14.17
75.97,5.0,4,3.28,13.31
45.37,29.14,3,1.18,8.26
60.91,45.14,6,0.12,16.05
72.84,20.82,1,3.3,8.73
56.85,13.27,3,2.77,9.01
84.0,9.75,3,2.77,11.19
97.96,30.88,5,1.17,13.11
93.28,35.41,2,14.71,15.2
71.8,61.43,6,0.02,11.67
97.36,12.57,7,11.11,19.92
77.23,44.06,4,6.68,17.03
69.94,24.72,3,0.94,7.08
65.8,64.33,4,3.2,10.98
70.46,22.51,2,22.48,18.0
69.18,21.87,6,5.16,15.31
77.56,25.87,1,0.68,6.73
77.41,41.51,3,3.06,9.89
75.05,100.31,3,3.16,12.17
81.55,5.0,4,8.1,15.93
92.86,5.0,5,12.39,20.32
89.24,83.2,2,0.43,8.66
52.73,22.64,9,1.88,18.37
36.69,28.63,6,1.77,10.48
89.01,19.76,8,27.67,29.53
54.5,5.0,2,4.1,6.1
71.63,43.84,11,10.59,26.04
57.45,41.26,9,2.78,17.16
47.97,11.21,4,6.41,9.51
83.12,10.97,5,1.69,12.1
86.39,54.58,5,12.14,16.21
66.35,5.0,11,3.04,23.41
36.13,63.89,4,8.14,12.11
66.81,8.9,2,1.48,8.71
80.88,26.97,6,5.91,15.71
52.82,82.46,4,2.6,9.52
77.75,34.01,3,0.16,10.8
74.77,16.06,2,2.66,8.47
83.69,35.09,2,3.99,12.6
76.79,12.65,1,0.82,5.26
60.4,9.74,3,1.02,7.52
92.95,120.0,2,3.13,12.72
72.62,41.68,2,2.1,9.89
74.59,31.05,7,2.91,16.43
61.0,13.17,5,3.09,17.32
68.35,5.0,5,0.75,10.96
61.73,5.0,6,1.0,10.77
72.41,24.24,2,9.42,10.23
100.0,43.07,7,0.89,16.25
54.42,23.13,3,5.48,12.63
50.8,55.13,1,2.71,6.03
97.07,5.0,9,17.25,29.41
71.86,13.71,4,0.34,10.64
64.96,8.12,4,8.87,15.44
90.6,17.79,4,3.38,13.1
65.92,5.0,2,0.03,6.96
100.0,92.46,2,1.53,11.44
85.17,7.58,4,2.62,10.84
67.68,76.65,10,1.89,19.77
100.0,16.65,5,2.25,14.43
65.91,120.0,1,12.42,15.92
86.13,24.23,4,2.24,9.52
79.49,80.14,3,2.71,8.12
94.53,5.0,7,7.16,18.49
98.42,41.38,4,7.9,17.1
75.48,70.01,3,0.44,9.74
63.7,5.0,3,6.09,9.06
81.9,5.0,3,3.29,10.44
64.83,16.58,2,0.72,4.28
100.0,81.4,1,1.54,9.57
77.05,23.45,4,0.23,9.89
69.52,22.49,4,2.23,10.84
77.77,5.0,5,1.47,12.85
54.79,5.0,2,2.41,7.34
60.43,49.84,5,4.34,12.71
93.01,5.0,1,6.59,11.08
65.15,30.14,3,4.65,11.78
59.3,73.82,3,5.67,8.87
83.05,7.02,5,10.04,16.44
92.79,32.83,3,10.35,13.24
85.78,5.0,4,9.86,13.4
89.94,27.77,5,0.83,13.68
63.65,5.37,5,1.45,10.87
53.67,39.95,5,3.49,12.38
97.52,10.75,4,2.22,11.16
70.16,18.67,3,0.71,9.23
71.24,27.45,5,1.7,13.39
94.92,5.64,6,18.53,26.36
83.34,40.6,8,2.13,17.64
81.84,10.81,5,2.71,10.96
100.0,32.57,2,0.03,7.8
65.35,5.17,1,6.35,9.3
88.92,34.95,3,2.67,9.7
75.86,5.0,3,0.54,6.43
79.03,16.62,9,17.3,25.25
97.93,8.52,2,7.51,10.99
82.62,41.39,5,6.48,13.93
83.07,9.12,5,15.84,20.05
91.09,64.04,3,2.62,11.31
69.53,66.72,1,6.34,10.44
62.41,6.56,4,1.15,9.14
59.33,28.55,3,5.97,11.77
45.5,5.0,11,0.07,18.16
100.0,14.9,3,0.68,8.39
58.45,37.48,4,2.77,10.12
71.68,32.31,2,0.06,4.73
70.85,29.4,2,3.1,11.26
79.61,9.96,5,3.7,13.71
87.24,14.25,4,4.86,11.84
87.91,5.0,3,0.53,8.68
66.25,38.08,4,1.0,6.77
72.49,21.03,4,4.75,14.5
79.24,37.01,5,5.37,16.77
71.27,8.59,2,0.13,6.93
99.11,11.77,7,3.89,18.07
82.36,12.2,8,7.69,18.26
86.02,5.0,4,0.36,8.77
84.94,12.51,5,2.67,10.74
92.6,48.78,1,1.98,7.69
77.72,68.28,7,12.25,23.24
55.55,21.91,3,1.03,7.58
81.0,18.24,6,1.92,14.83
65.23,5.0,2,11.44,13.53
67.07,63.41,5,2.01,10.48
83.8,5.0,2,3.79,11.94
93.57,86.88,4,0.17,13.95
75.32,20.15,6,20.97,24.36
79.63,12.55,6,8.71,18.93
100.0,77.4,6,5.03,19.26
78.61,5.0,6,0.31,13.61
100.0,26.13,6,0.39,16.77
83.48,23.88,3,3.94,10.36
48.59,7.43,4,1.68,10.08
86.3,16.81,4,4.87,15.01
80.72,31.69,4,4.56,8.81
94.35,38.96,2,9.12,13.58
85.1,5.0,4,1.65,12.25
72.92,82.87,4,4.31,10.62
56.64,5.39,5,7.51,14.6
71.86,7.98,6,3.37,13.22
62.24,9.17,5,8.88,15.8
66.29,5.0,4,0.7,9.61
83.83,5.0,7,6.62,16.66
100.0,120.0,8,14.32,27.83
80.92,11.36,4,2.02,10.62
57.06,5.0,8,2.28,16.48
81.67,5.0,6,0.44,15.36
92.95,38.13,9,5.13,19.97
65.85,57.84,8,4.02,18.28
72.99,8.91,1,0.21,4.66
75.22,5.0,3,6.98,11.42
63.23,7.57,7,8.84,21.44
84.72,5.0,5,11.88,18.45
73.19,5.0,1,3.95,7.69
81.29,16.94,8,3.01,18.64
61.69,7.84,2,10.44,12.08
68.44,21.77,6,2.54,11.32
85.84,8.77,1,5.33,12.05
69.41,84.67,2,4.78,8.07
100.0,70.92,9,2.33,23.44
69.01,25.1,4,0.45,11.02
78.37,13.13,1,0.11,5.96
88.99,14.4,3,2.8,10.13
53.72,15.92,3,3.28,13.0
48.59,39.01,2,8.65,11.31
52.12,18.02,2,2.68,7.27
93.94,58.29,5,1.65,13.19
66.72,86.52,7,3.1,15.85
100.0,12.28,6,1.36,14.96
66.54,24.68,4,0.48,8.58
77.77,5.0,7,0.6,15.79
98.13,6.71,9,1.92,18.51
100.0,16.01,3,0.06,11.31
100.0,6.93,4,1.24,13.21
93.13,62.76,2,7.74,12.49
90.36,5.17,2,1.34,9.14
83.89,18.25,9,0.59,19.24
86.68,27.92,6,14.89,19.05
66.73,35.32,10,4.87,23.96
62.73,14.49,4,0.31,9.15
74.95,61.0,5,0.32,13.47
72.45,25.2,3,4.74,12.0
68.2,17.37,3,3.88,6.41
85.45,5.0,3,0.35,8.05
89.33,18.75,4,1.27,12.67
76.33,51.57,3,13.23,15.88
97.16,28.6,1,4.24,9.99
57.87,53.54,5,2.9,12.88
72.1,20.44,4,1.44,12.51
64.25,5.0,6,0.72,12.83
47.0,5.0,5,2.58,13.36
73.76,10.84,5,12.78,16.29
73.17,35.92,7,0.25,14.69
97.7,46.86,4,23.54,22.55
84.46,10.52,4,1.16,11.56
59.64,20.53,5,2.63,11.72
100.0,16.4,3,0.23,9.54
93.32,15.86,3,4.39,10.57
83.73,7.89,4,3.3,11.28
71.6,5.0,6,5.49,15.39
60.61,6.57,6,3.91,11.06
69.42,5.0,3,2.54,5.87
91.33,6.62,1,6.69,9.61
100.0,5.0,5,0.13,8.49
98.15,29.61,5,3.89,14.56
67.67,11.41,5,0.6,10.81
58.21,108.52,3,2.86,11.46
77.11,6.46,1,7.83,8.37
48.47,12.73,4,0.77,11.37
79.85,13.29,4,13.73,18.35
72.79,5.0,1,10.97,8.44
68.01,54.83,5,2.68,12.73
51.08,5.0,3,0.03,9.44
82.7,84.49,1,7.8,9.9
67.01,66.79,1,10.64,11.2
57.45,23.01,2,0.96,8.84
31.92,23.53,4,12.4,13.38
74.59,31.82,3,12.27,16.58
100.0,14.68,1,3.19,6.97
99.92,31.26,6,8.0,14.18
68.14,5.0,2,2.94,9.81
65.97,5.0,4,4.15,12.12
82.03,18.33,2,1.93,9.13
60.02,23.93,3,0.87,6.69
79.53,65.63,6,6.86,15.98
86.49,5.0,5,0.01,13.64
93.4,51.89,1,4.33,9.57
